title,lead-organisation,abstract,project-value,technology,funding,startdate,finishdate,finishdate-additional-information,closed,lat,lon,link
"A Distributed Energy Market: Consumer and Utility Interest, and the Regulatory Requirements","Australian Photovoltaic Institute (APVI)","This project assessed a range of ways in which customers and electricity utilities might participate in a distributed energy market.",,"Solar energy",173550,"July 2012","30 June 2013",,,-32.926689,151.7779205,http://arena.govspace.gov.au/project/a-distributed-energy-market-consumer-and-utility-interest-and-the-regulatory-requirements/
"A low emission biofuel technology","Renergi Pty Ltd","Researchers in Curtin University's Fuels and Energy Technology Institute have developed a new technology that converts biomass such as mallee crops into biofuels and biochar via biomass conversion (pyrolysis) and biorefinement.",12891182,Bioenergy,5173000,"September 2014",,,,-31.9535132,115.8570471,http://arena.govspace.gov.au/project/a-low-emission-biofuel-technology/
"Advanced biomass gasification technology","Renergi Pty Ltd","This project is constructing and demonstrating an innovative biomass gasification technology that will convert biomass, such as agricultural waste and mallee crops, into a clean gaseous fuel that can be used to generate electricity.",6729553,Bioenergy,3624253,"November 2012",,,,-31.9520044,115.8574693,http://arena.govspace.gov.au/project/advanced-biomass-gasification-technology/
"Advanced solar thermal energy storage technologies",CSIRO,"This project involved CSIRO working with Spanish company Abengoa to find cost-effective ways to collect and store heat from sunlight (solar thermal energy) in order to increase user confidence in solar energy, minimise disruption to the electricity grid and make it more economic for solar power plants to produce electricity.",9110702,"Solar energy",3538846,"June 2011","30 November 2014",,,-32.926689,151.7789205,http://arena.govspace.gov.au/project/advanced-solar-thermal-energy-storage-technologies/
"Advanced steam-generating receivers for high concentration solar collectors",CSIRO,"The project successfully demonstrated that significant reductions in the Levelised Cost of Electricity can be achieved by moving operation of concentrating solar thermal plants to higher temperatures and pressures. Additionally, the project has shown that using once through boiler designs is a suitable in concentrating solar thermal receivers.",5979428,"Solar energy",2821978,"June 2011","1 October 2014",,,-32.926689,151.7799205,http://arena.govspace.gov.au/project/advanced-steam-generating-receivers-for-high-concentration-solar-collectors/
"Advanced surface and contact technologies improving solar cells","Australian National University","This project aims to develop a suite of key cell process technologies to improve the surface of silicon
solar cells.",15842952,"Solar energy",4102000,"August 2014",,,,-35.282,149.128684,http://arena.govspace.gov.au/project/advanced-surface-and-contact-technologies-improving-solar-cells/
"Advancing marine microalgae biofuel to commercialisation","Muradel Pty Ltd","Australia and the broader global community are searching for viable, sustainable alternatives to fossil oil as future sources of liquid fuels, and to develop superior solutions to biofuels currently produced from food crops such as corn-based ethanol and biodiesel from palm oil.

The aim of project was to scale-up Muradel's marine microalgae to biofuel technology to demonstration scale and develop an investment case.",10738000,Bioenergy,4398000,"February 2012","June 2015",,,-33.0343994,137.5849148,http://arena.govspace.gov.au/project/advancing-marine-microalgae-biofuel-to-commercialisation/
"AGL Solar Project","AGL Energy Limited (AGL)","This project aims to increase knowledge in large-scale solar energy by constructing two solar photovoltaic (PV) power stations in New South Wales, which between them will have a generation capacity of up to 155 megawatts (MW) (AC) of electricity.",439082000,"Solar energy",166700000,"Nyngan: January 2014 | Broken Hill: July 2014",,,,-31.5630285,147.1961571,http://arena.govspace.gov.au/project/agl-solar-project/
"Analysis of variations in instantaneous weather effects","Ekistica Pty Ltd trading as CAT Projects","This project has developed innovative strategies for the distribution of mature, commercialised PV technologies within existing electricity networks, and in particular identified that up to 10MW of distributed solar PV could be installed within the Alice Springs grid.",539405,"Solar energy",242625,"June 2012","March 2015",,,-23.7002104,133.8806114,http://arena.govspace.gov.au/project/analysis-of-variations-in-instantaneous-weather-effects/
"The Australian Renewable Energy Mapping Infrastructure (AREMI) project","National ICT Australia (NICTA)","The Australian Renewable Energy Mapping Infrastructure (AREMI) project is being developed to share mapping data and information with the renewable energy industry. The mapping platform is being developed by National ICT Australia (NICTA), Australia's Centre of Excellence in Information and Communication Technology Research and Development.",3180000,"Renewable energy industry capacity building",2100000,"August 2014",,,,-35.281396,149.124917,http://arena.govspace.gov.au/project/aremi-project/
"Towards an Australian capability in arrays of ocean wave-power machines","Swinburne University of Technology, Centre for Ocean Engineering, Science and Technology","Swinburne University of Technology is developing modelling on the performance of wave energy farms. The research will identify the impact of Wave Energy Converters on each other in an array, and the impact of current flows in these arrays.",1501529,"Ocean energy",770000,"August 2014",,,,-37.821901,145.038944,http://arena.govspace.gov.au/project/arrays-of-ocean-wave-power-machines/
"ASTRI - Australian Solar Thermal Research Initiative",CSIRO,"ASTRI is a consortium of leading Australian research institutions collborating on 'over the horizon' concentrating solar power (CSP) research projects in close partnership with US research organisations and leading CSP companies.",87300000,"Solar energy",35000000,"November 2012",,,,-32.883327,151.728750,http://arena.govspace.gov.au/project/astri-australian-solar-thermal-research-initiative/
"Australia-US Institute for Advanced Photovoltaics","University of NSW","AUSIAPV is providing a pipeline to 'over the horizon' photovoltaic technology, as well as training the next generation of research scientists and engineers through exposure to world-class facilities across Australia and the US.",88500000,"Solar energy",33100000,"February 2013",,,,-33.8774869,151.2059902,http://arena.govspace.gov.au/project/australia-us-institute-for-advanced-photovoltaics/
"Australian feedstock and refining capacity to produce Sustainable Aviation Fuel (SAF)",Qantas/Shell,"Qantas and Shell Australia collaborated to undertake a feasibility study into Australian feedstock (material that can be processed into biofuel) and refining capacity to produce Sustainable Aviation Fuel.",950000,Bioenergy,575000,"June 2012","30 June 2013",,,-33.8774869,151.2069902,http://arena.govspace.gov.au/project/australian-feedstock-and-refining-capacity-to-produce-sustainable-aviation-fuel-saf/
"Australian pilot of rooftop CST and CPV-T micro-concentrator solar energy systems","Chromasun Pty Ltd","<em>(Project closed 7 November 2014)</em> Chromasun was partnering with the Futuris Group of Companies to develop and establish an Australian pilot manufacturing capability for the Chromasun Micro-Concentrator (MCT) concentrating solar thermal (CST) product. ARENA's funding commitment was $3.4 million.",9300000,"Solar energy",3461680,"January 2012",,,1,-36.1277236,144.7494973,http://arena.govspace.gov.au/project/australian-pilot-of-rooftop-cst-and-cpv-t-micro-concentrator-solar-energy-systems/
"Australian Solar Energy Forecasting System (ASEFS) - Phase 1",CSIRO,"This two-year project will deliver the first phase of an Australian Solar Energy Forecasting System (ASEFS) to the Australian Energy Market Operator (AEMO), manager of the National Electricity Market (NEM).",7600000,"Hybrid and enabling technologies",3089000,"January 2013",,,,-35.27614,149.148,http://arena.govspace.gov.au/project/australian-solar-energy-forecasting-system-asefs-phase-1/
"Australian Wave Energy Atlas",CSIRO,"This project will develop an online national wave energy atlas that will allow users to better assess the feasibility of wave power projects.",3286800,"Ocean energy",1300000,"July 2014",,,,-42.881903,147.323814,http://arena.govspace.gov.au/project/australian-wave-energy-atlas/
"Barcaldine Remote Community Solar Farm","Elecnor Australia Pty Ltd","The Barcaldine Remote Community Solar Farm (BRCSF) will be located in central Queensland within a fringe-of-grid area of super-premium solar irradiation. The project site is approximately 90 hectares and located near the Barcaldine Gas Power Plant.",69000000,"Solar energy",22800000,"December 2015",,,,-23.5524673,145.2885214,http://arena.govspace.gov.au/project/barcaldine-remote-community-solar-farm/
"Biomass to bio-crude: Producing advanced drop-in fuels for Australia","Licella Pty Ltd","This project undertook a feasibility study into the construction and operation of a pre-commercial biofuels plant that converts inedible plant material (biomass) into a bio-crude oil with similar characteristics to traditional fossil crude.",7296256,Bioenergy,4864414,"January 2013","April 2015",,,-33.8386344,151.2071142,http://arena.govspace.gov.au/project/biomass-to-bio-crude-producing-advanced-drop-in-fuels-for-australia/
"bioWAVE Ocean Pilot at Port Fairy","BioPower Systems Pty Ltd","This project will demonstrate an innovative new method for converting wave energy into electricity using the patented bioWAVE technology that efficiently converts wave energy to mechanical energy and then uses a unique mechanical-to-electrical energy converter.",21000000,"Ocean energy",11000000,"June 2012",,,,-38.3841733,142.2369225,http://arena.govspace.gov.au/project/biowave-ocean-pilot-at-port-fairy/
